product_name,ingredients,nutrition_grade,nutrition_score,energy,sugar,fiber,protein,sodium,fat,saturated_fat,lipids,carbohydrates,additives,allergy,category
"Balocco La colomba","farina di FRUMENTO - olio d'ARACHIDE - mandorle d'albicocca - aromi) - BURRO - zucchero - tuorlo d'UOVA fresche - lievito naturale (FRUMENTO) - granella di zucchero - MANDORLE - emulsionanti: mono e digliceridi acidi grassi (di origine vegetale) - sciroppo di zucchero invertito - sale - LATTE scremato in polvere - aromi. Può contenere tracce di altra frutta a guscio e soia.",d,18.0,0.0,32.0,0.0,6.5,0.16,15.0,7.0,0.0,55.0,"","no allergy",sweet
"Chocolat lait 47% cacahuète salée","Cacahuète grillée salée entière* (cacahuète entière*, sel) (30%), beurre de cacao*, sucre de canne blond*, lait entier* (15%), masse de cacao*, lait écrémé* (3%), vanille en poudre*. Cacao: 47% minimum. *ingrédients issus de l'agriculture biologique. Issu du commerce équitable. Peut contenir des traces d'autres fruits à coques.",e,25.0,0.0,26.0,0.0,14.0,0.28,45.0,20.0,0.0,31.0,"","no allergy",sweet
"Happy Snack, Animal Crackers","Wheat flour, palm oil, powdered sugar, tapioca syrup, salt, baking soda, natural vanilla flavor and natural butter flavor.",0,0.0,0.0,8.9,3.3,3.6,0.0,8.9,3.5,0.0,35.6,"","no allergy",sweet
"Brioche Tressée Pur Beurre","Farine de blé (gluten), œufs frais, beurre 15%, sucre, levain 3.5% (farine de blé, eau), rhum, levure, sel. Contient : gluten, œufs et lait. Traces éventuelles de soja.    SANS COLORANT - SANS CONSERVATEUR - SANS ADDITIF",e,20.0,1605.0,15.19999981,0.0,9.199999809,0.3359999895,16.0,11.5,0.0,49.59999847,"","no allergy",sweet
"Milka & Daim","Zucker, Kakaobutter, _Magermilchpulver_, Kakaomasse, Süßmolkenpulver (aus _Milch_), Palmöl, _Butterreinfett_, _Mandeln_ (1%), _Haselnüsse_, gezuckerte _Kondensmagermilch_, Emulgator (_Sojalecithin_), Speisesalz, Molkenerzeugnis (aus _Milch_), Aromen",e,27.0,2205.0,58.0,1.6,5.4,0.24,29.5,16.5,0.0,59.0,"","no allergy",sweet
"Barbe à papa","'",d,14.0,0.0,98.5,0.0,0.0,0.0,0.0,0.0,0.0,98.5,"","no allergy",sweet
"Taste of Finland","_milk_, sugar, cocoa butter, cocoa mass, emulsifier (lecithin incl. _soya_), salt, flavouring.",e,27.0,2260.0,48.0,0.0,11.0,0.12,33.0,21.0,0.0,49.0,"","no allergy",sweet
"Coop Naturaplan Fairtrade Bio Cacao Nacional 60% Arriba","cacao en pâte* (Équateur), sucre de canne* (Paraguay), beurre  de cacao* (République dominicaine, Pérou), grains de cacao* 8% (Pérou), gousses de vanille*. Cacao: 60% minimum. * Ingrédients conformes aux standards du commerce équitable Fairtrade. 100% du poids total. Dont produits à base  de cacao et sucres avec bilan de masse. www.maxhavelaar.ch/bilandemasse.  Tous les ingrédients agricoles sont issus de la production biologique.",e,19.0,0.0,36.0,9.0,5.800000191,0.0,40.0,25.0,0.0,42.0,"","no allergy",sweet
"Croibleu Bio Mandarine/Citron","Sirop de glucose*, sucre de canne*, arôme naturel de citron , arôme naturel de mandarine*, menthol*. *issus de l'agriculture biologique",d,14.0,1632.0,59.0,0.0,0.5,0.0,0.0,0.0,0.0,95.0,"","no allergy",sweet
Studentenfutter,"40% Rosinen, 39% geröstete _Erdnusskerne_, 10% _Mandeln_, 10% _Cashews_, pflanzliches Öl (Palm, Sonnenblume)",d,13.0,2106.0,31.7,4.7,14.8,0.012,30.9,5.2,0.0,39.6,"","no allergy",sweet
"Nougat à l'amende","Sucre, _amandes_ 30 %, sirop de glucose-fructose, miel, hostie, blanc d'_œuf_, arôme vanilline.",d,15.0,0.0,64.0,0.0,6.0,0.028,13.0,1.0,0.0,71.0,"","no allergy",sweet
"Chocolat noir 72%","pâte de cacao Équateur*, sucre de canne blond* beurre de cacao*, sésame* 10 %, extrait de vanille* Ingrédients agricoles issus de l'agriculture biologique.  Peut contenir des traces de fruits à coques, de gluten, d'oeuf, de soja et de lait.",d,12.0,0.0,24.0,0.0,9.899999619,0.003999999911,44.0,0.0,0.0,31.0,"","no allergy",sweet
"Kaoka chocolat noir reglisse","Pâte de cacao Equateur*, sucre de canne blond*, beurre de cacao*, racine de réglisse en poudre* 1,8%, extrait de vanille*. * Ingrédients agricoles issus de l'agriculture biologique. Cacao, sucre, vanille, Commerce Equitable controlé sous le référentiel Fair for Life : 98% des ingrédients d'origine agricole sont issus de filières BioPartenaire.  Peut contenir des traces de fruits à coques, de gluten, d'oeuf, de lait, de soja et de sésame.",e,22.0,0.0,27.0,0.0,8.2,0.004,43.0,27.0,0.0,34.0,"","no allergy",sweet
"Le p'tit craq","Sucre, amande 21%, farine de blé, blanc d’œuf.",d,12.0,0.0,61.0,4.0,10.0,0.04,16.0,1.3,0.0,68.0,"","no allergy",sweet
"Herbe Sahne","Zucker, Kakaomasse, _Sahnepulver_ (16 % ), Kakaobutter, _Vollmilchpulver_ (4%), _Süßmolkenpulver_, Emulgator: Sonnenblumen-Lecithine. Kann Spuren von Haselnüssen, Mandeln, Gluten und Soja enthalten.",e,21.0,0.0,39.7,5.2,8.1,0.1,39.5,25.1,0.0,41.8,"","no allergy",sweet
"Chocolat Noir / Noisettes","Pâte de cacao*, sucre de canne* , beurre de cacao*, noisettes entières* (15%). Cacao*: 74% dans le chocolat. *Produit issu de l'Agriculture Biologique. Peut contenir des traces de gluten, fruits à coque et lait.",d,16.0,0.0,19.6,10.2,9.6,0.008,49.1,23.6,0.0,27.2,"","no allergy",sweet
"Palmier au beurre frais","Farine de _blé_, _Beurre_ frais 30 %, Eau, Sucre, Sel.",e,20.0,0.0,17.8,0.0,6.15,0.12,26.9,13.1,0.0,60.9,"","no allergy",sweet
"Cocktail Brillo","Jarabe de glucosa",d,14.0,0.0,56.0,0.0,6.599999905,0.007999999821,0.5,0.1000000015,0.0,80.0,"","no allergy",sweet
"Chocolat noir amande physalis","Pâte de cacao du Pérou 46 %, sucre de canne, _amande_ entière 12 %, beurre de cacao, physalis 5 %, purée de _noisette_.",d,18.0,0.0,28.2,9.2,9.8,0.028,40.2,20.1,0.0,38.4,"","no allergy",sweet
"Gingembre confit en morceaux","GINGEMBRE 60%, SUCRE",0,0.0,0.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,68.0,"","no allergy",sweet
"Воздушный Тёмный шоколад","Сахар, какао тертое, масло какао, жир молочный, эмульгаторы (лецитин соевый, Е476), ароматизатор. _COДЕРЖИТ МОЛОЧНЫЙ ПРОДУКТ, ЛЕЦИТИН СОЕВЫЙ. МОЖЕТ СОДЕРЖАТЬ СЛЕДЫ  АРАХИСА, ДРУГИХ ОРЕХОВ И ПШЕНИЦЫ_. В темной шоколадной массе содержание общего  сухого остатка какао — не менее 40%.",e,21.0,2130.0,52.5,7.7,5.3,0.0,29.5,18.0,0.0,55.5,"","no allergy",sweet
"Choco Edition Edelbitter Schokolade","Kakagomasse, Zucker, Kakaobutter, Kakaopulver, natürliches Vanille-Aroma.",d,17.0,2450.0,27.0,11.0,8.0,0.0,46.0,28.0,0.0,31.0,"","no allergy",sweet
"Пористый","Сахар, масло какао, молоко сухое цельное, какао тертое, сыворотка молочная сухая, молочный жир, эмульгаторы (соевый лецитин, Е476), ароматизатор натуральный. Продукт может содержать арахис, орехи, яичный белок и глютен. В молочной шоколадной массе: сухой общий остаток какао - не менее 25 %, сухой обезжиренный остаток какао - не менее 2,5%, сухой молочный остаток - не менее 12 %, молочный жир - не менее 2,5 %.",0,0.0,2254.0,0.0,0.0,6.3,0.0,30.0,0.0,0.0,59.0,"","no allergy",sweet
"Croissants Rellenos de crema de cacao y avellanas","wheat flour, powder, fat-reduced cocoa nowder (2.3%) hazelnuts (,8%)* emulsifier (lecithin vegetable don ringl palm fat, nts sugar,",e,23.0,0.0,22.6,0.0,0.0,0.24,26.2,11.8,0.0,22.6,"","no allergy",sweet
"Brioche de Mareuil","Ingrédients.• farine (gluten), beurre (lactose), sucre, Œufs, eau, rhum levure, sel, arôme artificiel.",e,19.0,0.0,14.0,0.0,7.0,0.47,12.0,7.7,0.0,47.0,"","no allergy",sweet
"Eclats de chocolat noir","Chocolat noir* 81% (pâte de cacao*, sucre de canne*, beurre de cacao“, vanille Bourbon en poudre*) - canneberges séchées sucrées* 5,3% (canneberges* 3%, sucre&quot;, huile de tournesol*) - amandes effilées* 2,5% - graines de tournesol* 2,5% - graines de courge* 2,5% - fèves de cacao grillées* 2,5% - riz soufflé* - quinoa soufflé&quot;- sel de Guérande IGP. Cacao : 56% minimum dans le chocolat noir.   * Ingrédients issus de l'agriculture biologique.   Ingrédients conformes aux standards du commerce équitable Fairtrade/Max Havelaar: cacao, sucre de canne, vanille (81% du poids total).",e,22.0,0.0,42.0,0.0,7.300000191,0.1080000043,34.0,20.0,0.0,47.0,"","no allergy",sweet
"Instant choco","Sucre* de canne non raffiné (65,7%), cacao* maigre en poudre (32%), crème d'avoine* (2,3%) - *issus Itagncuiture biologique",0,0.0,0.0,65.7,13.2,6.9,0.0,3.4,2.3,0.0,71.2,"","no allergy",sweet
"Natura barrita","Cacahuetes*, sirope de arroz*, almendras* (15%), nueces* (11%), harina de arroz extruida (harina de arroz*, harina de arroz integral*, sal marina)",b,0.0,0.0,19.0,5.9,17.0,0.012,37.0,0.0,0.0,34.0,"","no allergy",sweet
"Coop Naturaplan Max Havelaar Bio Chocolat Au Lait","Sucre de canne brut* (Paraguay), noisettes caramélisées et grillées 22% (noisettes [Turquie], sucre de canne brut* [Paraguay], eau), lait entier en poudre (Suisse), beurre de cacao* (République dominicaine), cacao en pâte* (Pérou), pâte de noisette 4.5% (Turquie), gousses de vanille*. Teneur en cacao du chocolat: 32% minimum. * Ingrédients conformes aux standards du commerce équitable Fairtrade. 58.6% du poids total. Dont sucre et produits à base de cacao avec bilan de masse. Tous les ingrédients agricoles sont issus de l'agriculture biologique.  Allergies: Contient des noisettes, du lait. Peut contenir des traces d'amandes, de soja.",e,23.0,2410.0,46.0,4.0,8.699999809,0.06399999857,39.0,19.0,0.0,47.0,"","no allergy",sweet
"Pop Corn Sucre","DE IVINis SUCRÉS. Ingrédients I Mais spécial pou r situe (39 végétale de pal nne et huile de tournesol Iracec; éventuelles d, fruits à coque et de cacahuètes.",d,12.0,0.0,41.0,7.9,4.5,0.02,24.0,2.4,0.0,65.0,"","no allergy",sweet
"Barre Nougat Mont.","sucre, _amandes_, miel, sirop de glucose, _pistaches_, pain azyme (fécule de pomme de terre, eau), albumine d'_œuf_, arôme naturel de vanille.",d,16.0,1875.0,58.6,0.0,8.1,0.012,16.1,1.3,0.0,65.5,"","no allergy",sweet
"White roasted almond","Rohrzucker*, Kakaobutter* (28 %), Inulin*, Mandeln* gemahlen (11%), Mandeln* gehackt (10%), Meersalz, Vanille* gemahlen. *aus kontrolliert biologischem Anbau. Kann Spuren von Haselnuss und Milch enthalten. O FR: Prénaration à hase de hourro",e,24.0,2300.0,35.0,0.0,5.0,0.1,40.0,18.0,0.0,35.0,"","no allergy",sweet
"Ginger dark chocolate 60%","pâte de cacao #, sucre de canne #, gingembre cristallisé # (gingembre #, sucre #), beurre de cacao#, émulsifiant (lécithines de soja#), extrait de vanille #. #=Ingrédients issus de l'agriculture biologique. Cacao : 60 % minimum",e,21.0,0.0,47.0,7.0,6.0,0.044,30.0,18.0,0.0,51.0,"","no allergy",sweet
"Chocolat noir 70%","cacao en pâte* (Équateur), sucre de canne* (Paraguay), beurre de cacao* (République dominicaine). * Ingrédients conformes aux standards du commerce équitable Fairtrade.",d,18.0,2420.0,29.0,10.0,6.699999809,0.0,43.0,26.0,0.0,37.0,"","no allergy",sweet
"Doria Atene Biscotto frollino","farina di FRUMENTO, zucchero, oli vegetali (palma, cocco), sciroppo di zucchero invertito, amido di FRUMENTO, agenti lievitanti: carbonato acido di ammonio e sodio, sale, LATTE scremato in polvere, antiossidanti: lecitina di girasole, aromi, Può contenere tracce di FRUTTA A GUSCIO,",e,19.0,1938.0,23.0,0.0,7.8,0.239776,16.0,7.2,0.0,71.0,"","no allergy",sweet
"500G Arachides Sucrees Profruit","Arachides, sucre",d,17.0,2166.0,43.2,0.0,14.6,0.04,27.0,3.0,0.0,56.7,"","no allergy",sweet
"Meringues au miel LE MANOIR DES ABEILLES","Sucre 74 %, blancs d'_œufs_, miel 3 %, sel, arôme vanille.",d,15.0,0.0,89.0,0.0,4.1,0.16,0.4,0.1,0.0,94.0,"","no allergy",sweet
"Galatine tavoletta al latte","_latte_ in polvere (40%) (_latte_ scremato in polvere, _latte_ intero in polvere), zucchero, sciroppo di glucosio, _yogurt_ magro in polvere (2%), aroma naturale, miele in polvere",d,18.0,0.0,64.0,0.0,13.0,0.204,4.0,2.5,0.0,77.0,"","no allergy",sweet
"Gâche éclats chocolat noir","provenant du GRAND-OUEST 20% (masse de cacao, sucre, émdsifiants lécithines (sqja), Farine de ble (guten), éclats de chocolat noir arôme vanille), aeufs frais, sucre, beurte 11,5%e, crème frache 6%o, levain (farine de blé, eau, sel marin (Noirmoutier Guerande), arôme, levure. Contient: guten, oeuf's, lait et soja SANS CONSERVATEUR-SANS COLORANT-SANS AJOUT D'ADDITIF",e,21.0,0.0,22.2,0.0,8.1,0.28,18.0,12.5,0.0,52.0,"","no allergy",sweet
0,"sugar, lean cocoa (11 % cocoa butter) powder, aroma,",0,0.0,0.0,67.0,10.5,7.5,0.012,3.9,2.4,0.0,71.0,"","no allergy",sweet
Shortbreads,"Farine de _blé_ (farine de _blé_, calcium, fer, niacine et thiamine), beurre 31 % (contient _lait_), sucre, amidon de maïs, sel.",e,22.0,2197.0,20.0,0.0,4.5,0.224,29.0,17.0,0.0,61.0,"","no allergy",sweet
"Pure Fruit YOYO Mango","pommes, poires et mangues. Nous cuisons au four 266g de pommes, 266g de poires et 118g de mangues pour 100g",c,7.0,0.0,42.0,8.0,1.899999976,0.0,0.0,0.0,0.0,62.0,"","no allergy",sweet
"walkers shortbread","wheat flour, butter (milk) (32%), sugar, salt",e,22.0,2200.0,16.2,0.0,5.62,0.279,30.0,18.8,0.0,57.5,"","no allergy",sweet
"Digestive Classic","Farinha de _trigo_ 59%, gordura vegetal (palma), açucar, xarope de glucose e frutose, levedantes químicos (bicarbonatos de sódio e amónio), sal.",d,13.0,0.0,17.0,3.0,6.0,0.64,17.0,2.0,0.0,70.0,"","no allergy",sweet
"El Almendro Turron Mou Suprema","Amandes (67%), Miel (16,4%), Sucre, Stabilisateur E-471 et Blanc d'oeuf. Peut contenir des traces d'autres fruits à coque.",c,7.0,0.0,20.0,7.0,15.0,0.0,37.5,4.1,0.0,36.0,"","no allergy",sweet
"Organic Food Bar Bio Protein, 6 X","Protéine de riz brun 27%*, Sirop de tapioca*, Dattes*, Amandes 17%*, Raisins secs*, Graines de lin*, Graines de sésame*. *=Issus d'Agriculture Biologique F Συστατικά: Πρωτείνη Καφέ Ρυζιού 27% *, Σιρόπι Ταπιόκας *, φοινίκια *, Αμύγδαλα 17% *, Σταφίδες*, Λάχανα';, οργανικό σουσάμι';. * = Βιολογική καλλιέργεια GR %3D Nutrition Facts/Nährwerte/Voedingsinformatie/Valeures nutritionnelles/Naeringsindhold/ Næringsindhold/Näringsinnehåll/Ravintosisältö/Hranilne vrednosti/AiatpoQiKń Afia Energy/Energie/Energi/Energiaa/Energijska vrednost/Evépyɛia Fat/Fett/Vetstoffen/Lipides/Fedt/Fett/Rasvaa/Maščobe/Autapá Thereof saturates/davon gesättigte Fettsäuren/waarvan verzadigd vet/",c,6.0,0.0,24.0,11.0,29.0,0.0,12.0,2.0,0.0,44.0,"","no allergy",sweet
"Kouign Amann","Farine de _froment_, _beurre_ (27 %), sucre, eau, levure, sel de Guérande (IGP).",d,18.0,0.0,11.80000019,0.0,3.799999952,0.09200000167,26.10000038,17.70000076,0.0,50.29999924,"","no allergy",sweet
Darkmilk,"Zucker, Kakaomasse, Kakaobutter, Magermilchpulver, Butterreinfett, Emulgator (Sojalecithine), Aroma. Kakao: 40% mindestens. Kann Nüsse enthalten.",e,27.0,0.0,48.0,0.0,5.8,0.032,37.0,22.0,0.0,49.0,"","no allergy",sweet
"Sésame bars","Sesamsamen (49%), Zucker, Maissirup.",e,21.0,0.0,40.0,0.0,15.6,0.0,34.4,7.0,0.0,48.0,"","no allergy",sweet
"Corny Schoko","_Milchschokolade_ 24% (Zucker, Kakaomasse, Kakaobutter, _Magermilchpulver_, _Butterfett_, Emulgator Sonnenblumen-Lecithine), Getreidecrispies (_Weizenmehl_ 13%, Zucker, Reismehl 2%, Maismehl 2%, _Gerstenmalz_, Salz, Karamellsirup), Glukosesirup, Glukose-Fruktose-Sirup, geröstete Vollkornhaferflocken (_Hafer-_ 5%, _Weizen-_ 3%, _Gersten-_ 2%), geröstete _Erdnüsse_ 7%, Zucker, Kokosfett, Cornflakes (Mais 2,5%, Salz, _Gerstenmalzextrakt_), Honig 1%, Salz, Karamellzuckersirup, Emulgator Sonnenblumen-Lecithine, natürliche Aromen.",e,24.0,0.0,34.0,0.0,6.8,0.2,17.6,10.5,0.0,65.8,"","no allergy",sweet
"Zartbitterschokolade mit gerösteten Mandeln","kakaomasse, zucker, geröstete mandeln 4%, kakaobutter, emulgator: _sojalecithin_, natürliches vanille-aroma.",e,24.0,0.0,37.0,0.0,7.0,0.01199999973,36.0,21.0,0.0,42.0,"","no allergy",sweet
"Confiseries aux sésames","Sucre 48%, _sésame_ 40%, maltose 12%",d,13.0,1953.0,48.7,4.5,8.4,0.08,17.6,2.8,0.0,70.5,"","no allergy",sweet
"Chocolat noir 75% cacao","Pâte de cacao Tanzanie 69,5%, sucre, beurre de cacao, vanille naturelle en poudre. Chocolat noir pur beurre de cacao : 75% de cacao min. Allergènes et intolérances autres que ceux mentionnés en gras ci-dessus : Peut contenir des traces de lait, de sésame, fruits à coque.",e,21.0,0.0,21.6,0.0,8.1,0.008,46.9,28.2,0.0,25.1,"","no allergy",sweet
"Calissons d'Aix","_Amandes_, melons confits (melons, sirop de glucose-fructose, sucre), sucre, sirop de glucose-fructose, blanc d’_œuf_, écorces: d’oranges conﬁtes (écorces d'oranges, sirop de glucose-fructose, sucre), pain azyme (fécule de pomme de terre, huile de tournesol), arômes naturels (quinine).",d,13.0,0.0,47.0,3.5,8.0,0.01000000015,17.0,1.700000048,0.0,63.0,"","no allergy",sweet
"Nougalines Noisettes 150 gr, 1 Boîte","sucre, noisettes, beurre de cacao, poudre de lait entier, pâte de cacao, sirop de glucose, extrait de vanille",e,25.0,0.0,51.0,0.0,7.0,0.03600000143,33.0,10.0,0.0,55.0,"","no allergy",sweet
"Boisson Nutritionnelle client privilegiado discounts 22% - Herbalife Nutrition - 550 g","shop also for your friends and relatives, share",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","no allergy",sweet
"Pecan pie","dates 52%, pecans 28%, almonds 20%",b,2.0,0.0,45.29999924,8.9,9.399999619,0.0400000006,15.10000038,3.099999905,0.0,49.40000153,"","no allergy",sweet
"Cacao Delight","Dattes Noix de cajou Raisins secs Cacao Une pointe d'arômes naturels",b,2.0,0.0,45.3,6.8,9.4,0.04,15.1,3.1,0.0,49.4,"","no allergy",sweet
"Marabou Co-Co","Socker, kakaosmör, kokos 10 %, kakaomassa, vasslepulver (från _mjölk_), _skummjölkspulver_, _smörfett_, vassleprodukt (_mjölk_), emulgeringsmedel (_sojalecitin_), aromer.",e,24.0,2334.0,53.0,3.0,4.9,0.12,35.0,24.0,0.0,54.0,"","no allergy",sweet
"Noir Brut 86%","Kakaomasse, Kakaobutter, fettarmes Kakaopulver, Zucker, Aroma, Emulgator (Sojalecithin), Vollmilchpulver. Kakao: 86 % mindestens. Kann Nüsse enthalten.",d,15.0,0.0,13.0,13.0,8.5,0.008,56.5,35.0,0.0,18.5,"","no allergy",sweet
"Darkmilk Mandel","Zucker, Kakaomasse, Kakaobutter, _Mandelstückchen_, _Magermilchpulver_, _Butterreinfett_, Emulgator (_Sojalecithine_), Aroma.",e,21.0,2358.0,44.0,5.3,7.2,0.028,38.0,21.0,0.0,45.0,"","no allergy",sweet
"Chocolat noir et éclats de fèves","pâte de cacao origine Saint Domingue, sucre de canne, éclats de fèves de cacao torréfiés et caramélisés 10% (fèves de cacao 7%, sucre), beurre de cacao, extrait de vanille.",d,18.0,0.0,29.0,12.0,9.2,0.0,41.0,25.6,0.0,35.3,"","no allergy",sweet
"Galletas danesas","WHEAT FLOUR, sugar, BUTTER 13%, vegetable fat (palm), desiccated coconut, salt, raising agent (ammonium bicarbonate), natural flavour, invert sugar syrup. May contain traces of EGG, ALMOND, HAZELNUT, PECAN NUT and MACADAMIA NUT",e,22.0,0.0,25.0,0.0,5.5,0.12,25.0,15.0,0.0,65.0,"","no allergy",sweet
"COFFRET NAPOLITAINS NOIR DE 45G","Chocolat noir à 72% de cacao minimum* (pâte de cacao* et beurre de cacao* 74,5%, sucre de canne* 25.5%).   100% des ingrédients d'origine agricole sont issus de l'agriculture biologique",e,31.0,0.0,25.1,0.0,7.9,7.12,44.1,27.8,0.0,29.7,"","no allergy",sweet
"Nougat de Montélimar tendre","Sucre, _amandes_ 30 %, miel 19 %, sirop de glucose, pain azyme (fécule de pomme de terre, eau), albumine d'_oeuf_, arôme naturel de vanille.",d,13.0,1876.0,59.0,3.6,8.2,0.012,16.0,1.3,0.0,65.0,"","no allergy",sweet
"Brioche Tranchée Pur Beurre Surgelelée Deja Cuite 275 g","Farine [farine de _blé_ (_gluten_), _gluten de blé_], _œuf_ de poule élevée en plein air (liquide, pasteurisé) 22,3 %, _beurre_ 16,1 % (_lait_), eau, sucre, levure, améliorant de panification [farine de blé (gluten), gluten de blé, extrait d'acérola], sel.",d,14.0,0.0,6.400000095,0.0,9.199999809,0.0,15.0,9.399999619,0.0,42.0,"","no allergy",sweet
"Milka Luflee Caramel","Total carbohydrate 62.5g/l oog, 15.4g/25g; Trans fatty acids o,2g/l oog, O,05g/25g. Sodium 162mg/1 oog, 41 Contains 10 portions.",e,26.0,0.0,58.5,1.5,5.4,0.16,26.5,15.5,0.0,61.0,"","no allergy",sweet
"Chocolate 85% cacao","cocoa mass, fat-reduced cocoa, cocoa butter, demerara sugar, natural bourbon vanilla beans",d,14.0,2410.0,11.2,16.4,12.4,0.0102,44.0,28.0,0.0,19.2,"","no allergy",sweet
"Chili feinherb","Zucker, Kakaomasse, Kakaobutter, _Butterreinfett_, Emulgator (_Sojalecithin_), Chili-Extrakt, Aromen",e,26.0,2240.0,48.0,0.0,6.1,0.04,33.0,20.0,0.0,50.0,"","no allergy",sweet
"Napage Caramel Bio","Sucre de cannes caramélisé*, eau, huile de tournesol (0,02%) *produit issu de l'agriculture biologique",d,13.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,"","no allergy",sweet
"Kokos Marzipan Konfekt Zartbitter","Kokosraspel 31%, Zartbitterschokolade 25% (Kakaomasse, Rohrohrzucker, Kakaobutter), Marzipanrohmasse 21% (_Mandeln_ 52%, Rohrohrzucker, Invertzuckersirup, Wasser), Glukose-Fruktosesirup, Rohrohrzucker",c,10.0,2173.0,36.0,11.0,6.3,0.02,36.0,24.0,0.0,38.0,"","no allergy",sweet
"Excellence dark 70% cocoa","cocoa mass, sugar, cocoa butter, natural bourbon vanilla bean",e,23.0,0.0,30.0,0.0,10.0,0.0333,40.0,23.3,0.0,46.7,"","no allergy",sweet
Nesquik,"Zucker, 20,6 % fettarmer Kakao, Dextrose, Emulgator Sojalecithine, Salz, Vitamine [Vitamin C, Vitamin E, Niacin, Pantothensäure, Vitamin B1 (Thiamin), Vitamin B6, Folsäure].",e,32.0,1588.0,76.2,6.9,4.5,0.0,3.1,1.5,0.0,78.3,"","no allergy",sweet
"Cola Cao original","Azucar.. Cacao desgrasado en polvo. Crema de cereat kola-malteado (Harina de _trigo_. Extracto de malta de _cebada_. Aroma natural: Extracto de nuez de cola). Sales minerales (calcio y fosforo). Aromas. Sal",0,0.0,0.0,70.0,7.8,6.8,0.056,2.4,1.5,0.0,78.0,"","no allergy",sweet
"Gâche","Des ingrédients simples et bons provenant du Earine de blé (gluten), œufs frais, sucre, GRAND-OUEST beurre 14%, crème fraîche 7,5%, levain (farine de blé, eau), levure, sel marin (Noirmoutierou Guérande),rhum. Contient : gluten, œufs et lait. Traces éventuelles de soja. AUCUN CONSERVATEUR, COLORANT ET ADDITF. droit frais et sec",d,17.0,0.0,16.0,0.0,8.899999619,0.3640000105,16.0,12.0,0.0,53.0,"","no allergy",sweet
"Trufas de cacao","Grasas Vegetales De Palmiste, Coco , Palma (38%), Azúcar, Cacao Desgrasado En Polvo (18%), Lactosuero En Polvo, Lactosa, Aromas , Sal",e,21.0,2399.0,43.0,6.5,6.5,0.08,41.0,34.0,0.0,44.0,"","no allergy",sweet
Radix,"Arrels naturals de regalèssia",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","no allergy",sweet
"61% Die Feine aus Nicaragua","Kakaomasse, Zucker, Kakaobutter.",e,25.0,2490.0,37.0,0.0,5.6,0.004,45.0,28.0,0.0,40.0,"","no allergy",sweet
"Mahroum Baklava","White flour (contains _gluten_), sugar, vegetable fats, water, _pistachio_, _peanut_ ,_cashew_, _almonds_, corn starch, cinnamon, salt.",b,1.0,0.0,0.7,1.0,2.0,0.0,11.0,2.0,0.0,7.0,"","no allergy",sweet
"Feine Bitter Kuvertüre","Kakaomasse, Roh-Rohrzucker, Kakaobutter.",e,22.0,2425.0,27.0,0.0,7.0,0.008,44.9,28.3,0.0,32.5,"","no allergy",sweet
"Banane-Mandel Fruchtriegel","Bananen (34%), _Mandeln_ (23%), Sultaninen (Sultaninen, Sonnenblumenöl), Feigen, Reismehl",b,0.0,1530.0,40.3,7.6,7.9,0.012,13.0,1.2,0.0,52.4,"","no allergy",sweet
"Mini meringues","Sucre, blanc d'_œuf_ pasteurisé.",d,14.0,0.0,91.4,0.0,5.5,0.08,0.2,0.1,0.0,92.8,"","no allergy",sweet
"Bonbon aux plantes","Zucker, Glukosesirup, Kräuterauszug (1%) aus Spitzwegerich, Eibisch, Pfefferminze, Thymian, Salbei, Frauenmantel, Holunderblüten, Schlüsselblume, Schafgarbe, Bibernelle, Ehrenpreis, Malve und Andorn, Farbstoff (einfaches Zuckerkulör), natürliches Minzenaroma, Menthol",c,10.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,"","no allergy",sweet
"Weiße Schokolade Kuvertüre","Zucker, Kakaobutter, Vollmilchpulver, Süßmolkenpulver, Emulgator, Lécithine.",e,27.0,0.0,57.0,0.0,4.4,0.076,35.0,22.0,0.0,57.0,"","no allergy",sweet
"feine Vollmilchschokolade","Rohrzucker, Vollmilchpulver (26%), Kakaobutter, Kakaomasse, Vanilleextrakt; Kakao: 33% mindestens",0,0.0,0.0,0.0,50.7,7.6,0.096,36.7,23.1,0.0,51.5,"","no allergy",sweet
"Bio Zartbitterschokolade","Kakaomasse*, Rohrohrzucker*, Kakaobutter*  *aus biologischer Landwirtschaft  Kakao: 70 %",d,17.0,2433.0,27.0,11.0,7.0,0.01,44.9,28.3,0.0,32.5,"","no allergy",sweet
"Schweizer Bio-Schokolade Vollmilch","Rohrohrzucker1, Kakaobutter), 20% Vollmilchpulverl, Kakaomasse1, Magermilchpulverl, gemahlene Vanilleschoten1. 1kontrolliert-biologischen Ursprungs. Kakao: 37%",e,25.0,0.0,49.0,2.2,7.4,0.072,37.0,23.0,0.0,50.0,"","no allergy",sweet
